east north cat Gh_id Elevation
-538879.27434827 -1194471.92201342 1 B1BLAT01 210.00000000
-512578.05751124 -1186631.04507735 2 B1BOJK01 310.00000000
-546587.40313664 -1177940.9262542 3 B1BUCH01 257.00000000
-519021.77073871 -1146250.03156611 4 B1BYSH01 314.00000000
-549933.76080844 -1189612.74466636 5 B1BZEN01 182.00000000
-524832.09616932 -1142568.51319568 6 B1DREV01 238.00000000
-536848.86626524 -1167272.9048773 7 B1HALE01 352.00000000
-511894.42847726 -1173874.05027927 8 B1HLHO01 348.00000000
-532946.70472833 -1190739.13254475 9 B1HLUK01 225.00000000
-565973.82520102 -1202234.27574205 10 B1HODO01 172.00000000
-527090.9823215 -1153958.98440804 11 B1HOLE01 222.25000000
-527112.22862746 -1153952.04553065 12 B1HOLE02 222.30000000
-561987.6824679 -1151792.55262858 13 B1IVAN01 243.00000000
-513402.36313579 -1181641.49537355 14 B1KLZI01 329.00000000
-546680.07948941 -1148465.87093509 15 B1KOJE01 203.00000000
-553566.077614 -1135821.3848221 16 B1KRAL01 210.00000000
-542291.46048906 -1156496.47606792 17 B1KROM01 233.00000000
-535110.02837599 -1161597.18298506 18 B1KVAS01 190.00000000
-571781.60386741 -1161133.08148092 19 B1LYSO01 275.00000000
-552423.50557687 -1160299.94527216 20 B1MSLI01 289.00000000
-560415.62962735 -1118886.73048473 21 B1NAMH01 247.00000000
-525208.88850149 -1192109.49926399 22 B1NIVN01 241.00000000
-565765.93201111 -1133648.60140402 23 B1PLUM01 297.00000000
-567508.11758145 -1144493.82408274 24 B1PODI01 375.00000000
-557107.00322842 -1136269.50431849 25 B1PROS01 214.75000000
-557107.00322842 -1136269.50431849 26 B1PROS02 214.80000000
-578713.07799853 -1131211.89997269 27 B1PROT01 675.00000000
-549080.95330598 -1202848.28570436 28 B1RADE01 240.00000000
-507150.48084257 -1182092.08643455 29 B1SLIN01 362.00000000
-509565.67250265 -1194958.46362886 30 B1STHR01 412.00000000
-500524.4557589 -1184087.67082985 31 B1STIT01 315.00000000
-539521.45658525 -1178330.67353421 32 B1STME01 221.00000000
-521375.10346622 -1201103.71591637 33 B1STRN01 383.00000000
-548455.88320259 -1198965.54274261 34 B1STRZ01 176.00000000
-543142.41361697 -1164542.64406167 35 B1UJED01 336.00000000
-524713.4116804 -1206151.87229425 36 B1VEJATT 961.00000000
-513635.4164041 -1158915.73792078 37 B1VELI01 392.00000000
-535639.17811022 -1202478.54606228 38 B1VELV01 289.00000000
-508277.0832762 -1166616.05489571 39 B1VIZO01 313.00000000
-496673.30002028 -1177023.12640552 40 B1VKLO01 402.00000000
-522659.36149652 -1163749.63642845 41 B1ZLIN01 283.00000000
-590692.38687425 -1151069.0447827 42 B2BABI01 470.00000000
-687703.41078921 -1141040.15291057 43 B2BATE01 643.00000000
-665137.26481692 -1181862.17645125 44 B2BITO01 425.00000000
-601501.43532015 -1159634.55209383 45 B2BJUN01 260.00000000
-593141.58831392 -1142887.97983422 46 B2BLAN01 299.00000000
-647745.56261323 -1123084.32735848 47 B2BOHD01 583.00000000
-625815.50883053 -1198062.33775209 48 B2BOZI01 216.00000000
-613469.18975187 -1184701.73284874 49 B2BRAS01 200.00000000
-600341.32100052 -1108547.820066 50 B2BRES01 387.00000000
-607273.49196964 -1195762.75209939 51 B2BROD01 177.00000000
-664208.8025017 -1140692.50216729 52 B2BRTN01 517.00000000
-592799.43185893 -1166036.20129505 53 B2BTUR01 241.00000000
-592798.11350579 -1166031.42151771 54 B2BTUR02 241.00000000
-569475.66864121 -1171072.35373817 55 B2BUCO01 238.00000000
-640932.22193564 -1147389.92963948 56 B2BUDI01 485.00000000
-583141.66863578 -1150971.49283142 57 B2BUKA01 511.00000000
-619703.21319529 -1121561.88972327 58 B2BYSP01 553.00000000
-600826.26207872 -1158074.79130253 59 B2BZAB01 236.00000000
-596450.60260861 -1160583.9324778 60 B2BZID01 200.00000000
-692921.52484961 -1163331.10136183 61 B2CRUD01 520.00000000
-684655.18194734 -1163266.47118464 62 B2DACI01 486.00000000
-611517.00332295 -1196909.29335284 63 B2DRNH01 210.00000000
-565378.51511938 -1194861.13711359 64 B2DUBN01 200.00000000
-633722.33733011 -1167938.87268986 65 B2DUKO01 400.15000000
-633722.44506892 -1167911.54989658 66 B2DUKO02 400.00000000
-599407.1840379 -1195060.21339931 67 B2DVES01 172.00000000
-626306.05772749 -1205325.44567749 68 B2DYJA01 187.00000000
-629520.95512451 -1178860.47315037 69 B2DZBA01 337.00000000
-605817.97970608 -1140011.0593288 70 B2HAJE01 409.00000000
-600394.12446029 -1100553.72119219 71 B2HRAS01 446.00000000
-639019.6066449 -1165657.30353211 72 B2HROT01 425.00000000
-576246.62034642 -1208157.31719414 73 B2HRUS01 174.00000000
-678076.98117134 -1129343.44827206 74 B2HUBE01 570.00000000
-592565.46381399 -1189261.5540088 75 B2HUST01 201.00000000
-558631.9645522 -1184299.95395097 76 B2HYSL01 217.00000000
-630859.87981164 -1206345.35447857 77 B2JARS01 190.00000000
-674154.81741683 -1171065.23524968 78 B2JEMN01 502.00000000
-667127.26555736 -1129193.60593602 79 B2JIHL01 468.00000000
-630967.10618415 -1107856.58029369 80 B2KADO01 672.00000000
-580990.15989627 -1184835.92487455 81 B2KLOB01 205.00000000
-683270.54938176 -1154914.29368165 82 B2KMYS01 569.00000000
-683256.78200692 -1154822.65699751 83 B2KMYS02 569.00000000
-588012.22687141 -1123607.23042741 84 B2KNIN01 369.00000000
-581302.94424997 -1191142.57250926 85 B2KOBY01 175.00000000
-558453.71227336 -1175219.30147525 86 B2KORC01 305.00000000
-631148.22755331 -1102443.26264871 87 B2KRIZ01 615.00000000
-640015.54760955 -1191219.86467587 88 B2KUCH01 334.00000000
-639916.14259471 -1191075.82530736 89 B2KUCH02 334.00000000
-602382.88554294 -1148497.80095465 90 B2KURI01 291.00000000
-578213.47268108 -1215463.91815542 91 B2LANZ01 158.00000000
-660031.78109774 -1174101.16004713 92 B2LAZT01 432.00000000
-589026.60648461 -1206743.66615562 93 B2LEDN01 177.00000000
-624019.95675867 -1114418.95493864 94 B2LISE01 688.00000000
