EG_GH_ID YEAR MONTH DAY TIME  D   F
-------- ---- ----- --- ----- --- ---
B1BYSH01 2024 12    31  13:00 244 1,6
B1BYSH01 2024 12    31  13:10 252 1,3
B1BYSH01 2024 12    31  13:20 245 1,3
B1BYSH01 2024 12    31  13:30 251 1,4
B1BYSH01 2024 12    31  13:40 246 1,7
B1HOLE01 2024 12    31  13:00 163 5,7
B1HOLE01 2024 12    31  13:10 163 5,7
B1HOLE01 2024 12    31  13:20 163 5,7
B1HOLE01 2024 12    31  13:30 163 5,7
B1HOLE01 2024 12    31  13:40 163 5,7
B1IVAN01 2024 12    31  13:00 245 1,5
B1IVAN01 2024 12    31  13:10 242 1,7
B1IVAN01 2024 12    31  13:20 235 1,8
B1IVAN01 2024 12    31  13:30 241 1,5
B1IVAN01 2024 12    31  13:40 249 1,2
B1KLZI01 2024 12    31  13:00   0   0
B1KLZI01 2024 12    31  13:10   0   0
B1KLZI01 2024 12    31  13:20   0   0
B1KLZI01 2024 12    31  13:30   0   0
B1KLZI01 2024 12    31  13:40 360  ,1
B1KROM01 2024 12    31  13:00 174  ,8
B1KROM01 2024 12    31  13:10 187   1
B1KROM01 2024 12    31  13:20 292  ,3
B1KROM01 2024 12    31  13:30   3  ,1
B1KROM01 2024 12    31  13:40   2  ,1
B1PROS01 2024 12    31  13:00 171 4,5
B1PROS01 2024 12    31  13:10 179 3,9
B1PROS01 2024 12    31  13:20 172 4,1
B1PROS01 2024 12    31  13:30 174 4,5
B1PROS01 2024 12    31  13:40 173 4,1
B1PROT01 2024 12    31  13:00 206   2
B1PROT01 2024 12    31  13:10 208 1,9
B1PROT01 2024 12    31  13:20 212 1,3
B1PROT01 2024 12    31  13:30 201 1,6
B1PROT01 2024 12    31  13:40 216 2,1
B1STME01 2024 12    31  13:00 230 1,8
B1STME01 2024 12    31  13:10 233 1,6
B1STME01 2024 12    31  13:20 236 1,7
B1STME01 2024 12    31  13:30 228 1,9
B1STME01 2024 12    31  13:40 237 1,4
B1STRN01 2024 12    31  13:00 120 1,9
B1STRN01 2024 12    31  13:10 120 2,1
B1STRN01 2024 12    31  13:20 112   2
B1STRN01 2024 12    31  13:30 119 1,7
B1STRN01 2024 12    31  13:40 119 1,8
B1STRZ01 2024 12    31  13:00 221  ,9
B1STRZ01 2024 12    31  13:10 205  ,8
B1STRZ01 2024 12    31  13:20 211  ,9
B1STRZ01 2024 12    31  13:30 231 1,1
B1STRZ01 2024 12    31  13:40 258  ,9
B1VIZO01 2024 12    31  13:00 338  ,3
B1VIZO01 2024 12    31  13:10 323 1,2
B1VIZO01 2024 12    31  13:20 335  ,1
B1VIZO01 2024 12    31  13:30 322  ,3
B1VIZO01 2024 12    31  13:40   5  ,4
B2BROD01 2024 12    31  13:00 195   1
B2BROD01 2024 12    31  13:10 180 1,4
B2BROD01 2024 12    31  13:20  46  ,4
B2BROD01 2024 12    31  13:30 146 1,2
B2BROD01 2024 12    31  13:40 169  ,7
B2BTUR01 2024 12    31  13:00 189 1,6
B2BTUR01 2024 12    31  13:10 191 1,7
B2BTUR01 2024 12    31  13:20 189 1,3
B2BTUR01 2024 12    31  13:30 189 1,4
B2BTUR01 2024 12    31  13:40 174 1,7
B2BYSP01 2024 12    31  13:00 228 1,7
B2BYSP01 2024 12    31  13:10 222 1,7
B2BYSP01 2024 12    31  13:20 220 2,2
B2BYSP01 2024 12    31  13:30 246 1,4
B2BYSP01 2024 12    31  13:40 260   1
B2BZAB01 2024 12    31  13:00 151 1,6
B2BZAB01 2024 12    31  13:10 123 1,7
B2BZAB01 2024 12    31  13:20 129 1,8
B2BZAB01 2024 12    31  13:30 124 1,1
B2BZAB01 2024 12    31  13:40 167  ,9
B2DUKO01 2024 12    31  13:00 151 1,5
B2DUKO01 2024 12    31  13:10 148 2,1
B2DUKO01 2024 12    31  13:20 178 2,4
B2DUKO01 2024 12    31  13:30 199 1,8
B2DUKO01 2024 12    31  13:40 181 2,4
B2DYJA01 2024 12    31  13:00 163  ,8
B2DYJA01 2024 12    31  13:10  75  ,3
B2DYJA01 2024 12    31  13:20  77  ,9
B2DYJA01 2024 12    31  13:30  43  ,3
B2DYJA01 2024 12    31  13:40  96  ,9
B2HAJE01 2024 12    31  13:00 177 1,7
B2HAJE01 2024 12    31  13:10 196 1,4
B2HAJE01 2024 12    31  13:20 175 1,2
B2HAJE01 2024 12    31  13:30 171  ,9
B2HAJE01 2024 12    31  13:40 139 1,2
B2HUBE01 2024 12    31  13:00 147 1,9
B2HUBE01 2024 12    31  13:10 139 2,8
B2HUBE01 2024 12    31  13:20 146 2,7
B2HUBE01 2024 12    31  13:30 149 2,5
B2HUBE01 2024 12    31  13:40 124   2
B2KMYS01 2024 12    31  13:00 186 1,8
B2KMYS01 2024 12    31  13:10 173 2,3
B2KMYS01 2024 12    31  13:20 175   2
B2KMYS01 2024 12    31  13:30 175 1,9
B2KMYS01 2024 12    31  13:40 168 3,2
B2KOBY01 2024 12    31  13:00 207 1,8
B2KOBY01 2024 12    31  13:10 204 1,3
B2KOBY01 2024 12    31  13:20 217 1,6
B2KOBY01 2024 12    31  13:30 221 1,5
B2KOBY01 2024 12    31  13:40 196 1,6
B2KUCH01 2024 12    31  13:00 163 1,7
B2KUCH01 2024 12    31  13:10 181 1,6
B2KUCH01 2024 12    31  13:20 157   2
B2KUCH01 2024 12    31  13:30 122 2,2
B2KUCH01 2024 12    31  13:40 120 1,2
B2LEDN01 2024 12    31  13:00 185 1,7
B2LEDN01 2024 12    31  13:10 180 1,8
B2LEDN01 2024 12    31  13:20 191 1,9
B2LEDN01 2024 12    31  13:30 178 1,9
B2LEDN01 2024 12    31  13:40 185 1,7
B2MBUD01 2024 12    31  13:00  55  ,6
B2MBUD01 2024 12    31  13:10  77  ,6
B2MBUD01 2024 12    31  13:20  92 1,2
B2MBUD01 2024 12    31  13:30 131   1
B2MBUD01 2024 12    31  13:40 141 1,2
B2NEDV01 2024 12    31  13:00 207 3,4
B2NEDV01 2024 12    31  13:10 206 3,6
B2NEDV01 2024 12    31  13:20 205 3,7
B2NEDV01 2024 12    31  13:30 207 2,9
B2NEDV01 2024 12    31  13:40 185   3
B2NEMO01 2024 12    31  13:00 177 2,1
B2NEMO01 2024 12    31  13:10 175 2,5
